model,Computation_complete,Computation_instruct,Cryptography_complete,Cryptography_instruct,General_complete,General_instruct,Network_complete,Network_instruct,System_complete,System_instruct,Time_complete,Time_instruct,Visualization_complete,Visualization_instruct
Phi-3-Mini-128K-Instruct,43.1,29.2,40.4,38.4,41.3,35.1,23.6,14.3,33.9,27.6,31.6,14.7,36.8,24.1
Phi-3-Small-128K-Instruct,38.6,28.0,38.4,43.4,44.7,35.1,20.7,23.6,35.0,31.3,35.3,22.8,37.8,26.6
Phi-3.1-Mini-128K-Instruct,46.5,35.4,46.5,51.5,48.9,40.7,21.4,16.4,43.9,35.1,39.7,30.1,43.1,31.0
Phi-3.5-Mini-Instruct,37.2,32.1,31.3,38.4,43.6,37.2,23.6,12.1,38.1,32.3,27.9,25.0,34.5,28.9
Phi-4,55.8,44.9,54.5,50.5,58.2,47.8,27.9,25.7,50.0,42.3,44.9,40.4,53.0,42.1
Phind-CodeLlama-34B-v2,47.7,32.9,47.5,53.5,49.1,42.9,35.0,22.1,42.1,42.8,39.0,30.1,43.4,32.0
Quasar-Alpha,62.9,50.0,56.6,47.5,64.1,51.9,37.9,30.0,47.0,44.1,51.5,41.2,63.2,49.0
QwQ-32B-Preview,55.4,45.2,50.5,57.6,56.9,46.2,32.9,27.9,47.4,41.8,45.6,32.4,52.0,41.1
Qwen1.5-110B-Chat,45.6,33.2,39.4,48.5,45.0,36.9,27.9,25.0,40.0,32.5,37.5,27.9,40.4,31.5
Qwen1.5-32B-Chat,41.1,32.1,39.4,28.3,46.3,37.4,22.9,15.0,39.5,30.4,36.8,25.7,35.3,27.4
Qwen1.5-72B-Chat,38.0,31.2,40.4,32.3,42.0,36.1,36.4,23.6,39.0,34.8,32.4,23.5,33.0,27.7
Qwen2-57B-A14B,48.2,35.6,32.3,40.4,48.8,36.9,25.7,21.4,41.8,37.1,39.0,21.3,43.7,31.0
Qwen2-72B-Chat,53.8,36.2,51.5,43.4,58.7,41.6,32.9,30.0,49.7,39.5,39.7,34.6,52.0,32.2
Qwen2-7B-Instruct,42.1,28.4,51.5,28.3,45.6,31.6,24.3,17.9,35.1,27.4,32.4,30.1,42.1,26.6
Qwen2.5-0.5B-Instruct,10.1,7.3,14.1,16.2,12.7,10.7,9.3,9.3,11.2,8.7,4.4,1.5,5.3,2.8
Qwen2.5-1.5B-Instruct,24.8,19.8,34.3,17.2,30.7,23.8,15.0,10.0,27.1,15.2,21.3,16.2,20.1,17.0
Qwen2.5-14B-Instruct,53.5,39.4,55.6,49.5,54.3,45.0,36.4,22.1,44.9,35.3,36.8,28.7,50.3,35.0
Qwen2.5-32B-Instruct,53.3,45.8,56.6,51.5,55.6,48.6,26.4,25.0,46.9,40.4,39.0,31.6,47.7,38.6
Qwen2.5-72B-Instruct,58.6,45.9,61.6,49.5,58.2,48.9,26.4,19.3,51.0,45.1,35.3,26.5,53.6,40.6
Qwen2.5-7B-Instruct,45.7,38.0,51.5,31.3,48.2,41.4,31.4,15.0,42.3,35.0,30.9,25.0,40.1,35.0
Qwen2.5-Coder-1.5B-Instruct,30.2,24.4,37.4,36.4,37.2,30.3,25.0,18.6,33.2,28.5,26.5,18.4,23.4,20.6
Qwen2.5-Coder-14B-Instruct,55.9,47.5,51.5,49.5,60.8,53.5,36.4,29.3,52.6,44.6,51.5,36.0,54.3,43.7
Qwen2.5-Coder-32B-Instruct,59.3,50.1,57.6,49.5,60.9,51.8,37.9,24.3,50.7,43.7,50.7,41.9,55.6,45.4
Qwen2.5-Coder-7B-Instruct,48.3,39.1,52.5,49.5,50.1,43.9,30.7,24.3,48.8,40.6,45.6,34.6,41.9,35.0
ReflectionCoder-CL-34B,45.1,35.4,50.5,45.5,50.5,40.5,30.0,20.7,45.8,40.4,36.8,31.6,40.6,30.2
