model,IFEval,BBH,MATH_Lvl5,GPQA,MUSR,MMLU-PRO
YOYO-AI/Qwen2.5-14B-YOYO-latest,0.5286506469500925,0.6642943933344906,0.4418429003021148,0.3825503355704698,0.46825396825396826,0.5370678191489362
YOYO-AI/Qwen2.5-14B-it-restore,0.7929759704251387,0.6370421801770526,0.5370090634441088,0.337248322147651,0.4074074074074074,0.4900265957446808
YOYO-AI/Qwen2.5-7B-it-restore,0.7171903881700554,0.5381010241277556,0.5,0.3011744966442953,0.3994708994708995,0.42877327127659576
YOYO-AI/Qwen2.5-Coder-14B-YOYO-1010,0.4676524953789279,0.6182954348203437,0.3217522658610272,0.3523489932885906,0.4417989417989418,0.4074966755319149
YOYO-AI/ZYH-LLM-Qwen2.5-14B-V2,0.43622920517560076,0.6429439333449054,0.3542296072507553,0.37919463087248323,0.46825396825396826,0.5371509308510638
YOYO-AI/ZYH-LLM-Qwen2.5-14B-V3,0.8354898336414048,0.6344384655441764,0.527190332326284,0.33221476510067116,0.4007936507936508,0.4881150265957447
YOYO-AI/ZYH-LLM-Qwen2.5-14B-V4,0.8096118299445472,0.650407915292484,0.5392749244712991,0.3145973154362416,0.4417989417989418,0.5203623670212766
YOYO-AI/ZYH-LLM-Qwen2.5-14B,0.532347504621072,0.6625585835792397,0.411631419939577,0.3859060402684564,0.4748677248677249,0.5350731382978723
Yash21/TinyYi-7B-Test,0.11829944547134935,0.2869293525429613,0.0,0.26426174496644295,0.335978835978836,0.10912566489361702
Youlln/1PARAMMYL-8B-ModelStock,0.46395563770794823,0.5191806977955216,0.1487915407854985,0.3238255033557047,0.44047619047619047,0.4000166223404255
Youlln/2PRYMMAL-Yi1.5-6B-SLERP,0.21626617375231053,0.4618989758722444,0.11329305135951662,0.3070469798657718,0.4748677248677249,0.3169880319148936
Youlln/3PRYMMAL-PHI3-3B-SLERP,0.29944547134935307,0.541051900711682,0.1714501510574018,0.3263422818791946,0.4642857142857143,0.4001828457446808
Youlln/4PRYMMAL-GEMMA2-9B-SLERP,0.2513863216266174,0.5905224787363305,0.09063444108761329,0.33053691275167785,0.4669312169312169,0.42096077127659576
Youlln/ECE-MIRAGE-1-12B,0.14417744916820702,0.29595556327026556,0.0,0.2634228187919463,0.32142857142857145,0.11095412234042554
Youlln/ECE-MIRAGE-1-15B,0.14417744916820702,0.29595556327026556,0.0,0.2634228187919463,0.32142857142857145,0.11095412234042554
Youlln/ECE-PRYMMAL-0.5B-FT-V3-MUSR,0.10166358595194085,0.3015101544870682,0.02416918429003021,0.24916107382550334,0.36507936507936506,0.1644780585106383
Youlln/ECE-PRYMMAL-0.5B-FT-V3,0.10536044362292052,0.3060232598507204,0.0030211480362537764,0.2575503355704698,0.3637566137566138,0.11610704787234043
Youlln/ECE-PRYMMAL-0.5B-FT-V4-MUSR,0.07763401109057301,0.30098941156049297,0.012084592145015106,0.2701342281879195,0.35185185185185186,0.13214760638297873
Youlln/ECE-PRYMMAL-0.5B-SLERP-V2,0.10536044362292052,0.2902273910779379,0.0007552870090634441,0.27432885906040266,0.38227513227513227,0.10945811170212766
Youlln/ECE-PRYMMAL-0.5B-SLERP-V3,0.11460258780036968,0.2897066481513626,0.0,0.2516778523489933,0.3531746031746032,0.10871010638297872
Youlln/ECE-PRYMMAL-YL-1B-SLERP-V1,0.25693160813308685,0.4174622461378233,0.10725075528700906,0.2911073825503356,0.42592592592592593,0.2935505319148936
Youlln/ECE-PRYMMAL-YL-1B-SLERP-V2,0.25693160813308685,0.4174622461378233,0.10725075528700906,0.2911073825503356,0.42592592592592593,0.2935505319148936
Youlln/ECE-PRYMMAL-YL-7B-SLERP-V4,0.18299445471349354,0.3728519354278771,0.05362537764350453,0.2651006711409396,0.37433862433862436,0.2131815159574468
Youlln/ECE-PRYMMAL0.5-FT,0.1423290203327172,0.31018920326332233,0.023413897280966767,0.2558724832214765,0.32936507936507936,0.14768949468085107
Youlln/ECE-PRYMMAL0.5B-Youri,0.09981515711645102,0.27755597986460684,0.0,0.24328859060402686,0.36904761904761907,0.10954122340425532
Youlln/ECE-PRYMMAL1B-FT-V1,0.1589648798521257,0.39993056760978996,0.06419939577039276,0.2785234899328859,0.3412698412698413,0.2742686170212766
Youlln/ECE-Qwen0.5B-FT-V2,0.1922365988909427,0.32702655788925533,0.02039274924471299,0.26677852348993286,0.3055555555555556,0.16655585106382978
Youlln/ECE.EIFFEIL.ia-0.5B-SLERP,0.18853974121996303,0.32997743447318173,0.05966767371601209,0.2651006711409396,0.30952380952380953,0.1903257978723404
YoungPanda/qwenqwen,0.08133086876155268,0.33414337788578374,0.035498489425981876,0.25,0.3425925925925926,0.11677194148936171
Yuma42/KangalKhan-RawRuby-7B,0.4898336414048059,0.4730081583058497,0.06646525679758308,0.287751677852349,0.3941798941798942,0.30227726063829785
Yuma42/Llama3.1-IgneousIguana-8B,0.7837338262476895,0.5169241451136956,0.21978851963746224,0.3104026845637584,0.4193121693121693,0.39735704787234044
Yuma42/Llama3.1-SuperHawk-8B,0.7615526802218114,0.5181392119423711,0.2348942598187311,0.31291946308724833,0.4074074074074074,0.39453125
Z1-Coder/Z1-Coder-7B,0.25693160813308685,0.4794306544002777,0.324773413897281,0.2726510067114094,0.3611111111111111,0.37591422872340424
ZHLiu627/zephyr-7b-gemma-dpo-avg,0.24029574861367836,0.4113869119944454,0.045317220543806644,0.2785234899328859,0.41005291005291006,0.28507313829787234
ZHLiu627/zephyr-7b-gemma-rpo-avg,0.24029574861367836,0.4152056934559972,0.04984894259818731,0.27684563758389263,0.4074074074074074,0.2830784574468085
ZeroXClem/L3-Aspire-Heart-Matrix-8B,0.41035120147874304,0.5370595382746051,0.18277945619335348,0.32466442953020136,0.41798941798941797,0.3784906914893617
ZeroXClem/Llama-3.1-8B-AthenaSky-MegaMix,0.5767097966728281,0.51570907828502,0.2794561933534743,0.27768456375838924,0.3531746031746032,0.3503989361702128
ZeroXClem/Llama-3.1-8B-RainbowLight-EtherealMix,0.42513863216266173,0.513626106578719,0.1216012084592145,0.28691275167785235,0.3941798941798942,0.363031914893617
ZeroXClem/Llama-3.1-8B-SpecialTitanFusion,0.6987060998151571,0.5436556153445582,0.23338368580060423,0.29949664429530204,0.3862433862433862,0.3621176861702128
ZeroXClem/Llama-3.1-8B-SuperNova-EtherealHermes,0.6931608133086876,0.5229994792570735,0.17447129909365558,0.29278523489932884,0.4060846560846561,0.37450132978723405
ZeroXClem/Llama-3.1-8B-SuperTulu-LexiNova,0.34011090573012936,0.5061621246311404,0.25302114803625375,0.2860738255033557,0.3968253968253968,0.3367686170212766
ZeroXClem/Qwen-2.5-Aether-SlerpFusion-7B,0.5748613678373382,0.5433084533935081,0.27341389728096677,0.2986577181208054,0.4166666666666667,0.43267952127659576
ZeroXClem/Qwen2.5-7B-CelestialHarmony-1M,0.5304990757855823,0.5398368338830064,0.3474320241691843,0.3187919463087248,0.458994708994709,0.4386635638297872
ZeroXClem/Qwen2.5-7B-HomerAnvita-NerdMix,0.7393715341959335,0.551640340218712,0.38368580060422963,0.3196308724832215,0.43783068783068785,0.4431515957446808
ZeroXClem/Qwen2.5-7B-HomerCreative-Mix,0.7504621072088724,0.5521610831452872,0.3564954682779456,0.29949664429530204,0.43386243386243384,0.4447307180851064
ZeroXClem/Qwen2.5-7B-Qandora-CySec,0.634011090573013,0.5450442631487589,0.2930513595166163,0.30033557046979864,0.42724867724867727,0.4484707446808511
ZeusLabs/L3-Aethora-15B-V2,0.6802218114602587,0.4992188856101371,0.08081570996978851,0.287751677852349,0.3862433862433862,0.3499833776595745
ZhangShenao/SELM-Llama-3-8B-Instruct-iter-3,0.6395563770794824,0.5026905051206387,0.08610271903323263,0.25838926174496646,0.3835978835978836,0.3783244680851064
aaditya/Llama3-OpenBioLLM-70B,0.7171903881700554,0.6387779899323034,0.1971299093655589,0.32298657718120805,0.44047619047619047,0.4867021276595745
abacusai/Dracarys-72B-Instruct,0.7486136783733827,0.6936295781982295,0.39652567975830816,0.39093959731543626,0.455026455026455,0.5456283244680851
abacusai/Liberated-Qwen1.5-14B,0.2957486136783734,0.492622808540184,0.16012084592145015,0.2835570469798658,0.4166666666666667,0.35123005319148937
abacusai/Llama-3-Smaug-8B,0.4121996303142329,0.4914077417115084,0.08534743202416918,0.2483221476510067,0.3611111111111111,0.3184840425531915
abacusai/Smaug-34B-v0.1,0.4491682070240296,0.5335879187641035,0.07175226586102719,0.3296979865771812,0.3968253968253968,0.4542885638297872
abacusai/Smaug-72B-v0.1,0.4602587800369686,0.5950355840999827,0.19108761329305135,0.3238255033557047,0.4470899470899471,0.4623503989361702
abacusai/Smaug-Llama-3-70B-Instruct-32K,0.7356746765249538,0.6484985245617081,0.27492447129909364,0.2961409395973154,0.4193121693121693,0.47647938829787234
abacusai/Smaug-Mixtral-v0.1,0.5101663585951941,0.5137996875542441,0.09516616314199396,0.3011744966442953,0.42857142857142855,0.3351894946808511
abacusai/Smaug-Qwen2-72B-Instruct,0.744916820702403,0.6898107967366777,0.4131419939577039,0.3615771812080537,0.43915343915343913,0.519032579787234
abacusai/bigstral-12b-32k,0.3567467652495379,0.46641208123589656,0.015105740181268883,0.29278523489932884,0.455026455026455,0.26412898936170215
abacusai/bigyi-15b,0.16820702402957485,0.4332581149106058,0.02945619335347432,0.30956375838926176,0.3531746031746032,0.30028257978723405
abhishek/autotrain-0tmgq-5tpbg,0.13493530499075784,0.31018920326332233,0.01283987915407855,0.25922818791946306,0.35714285714285715,0.11436170212765957
abhishek/autotrain-llama3-70b-orpo-v1,0.3585951940850277,0.5988543655615345,0.010574018126888218,0.24412751677852348,0.35714285714285715,0.11220079787234043
abhishek/autotrain-llama3-70b-orpo-v2,0.47689463955637706,0.5887866689810797,0.2107250755287009,0.2936241610738255,0.41005291005291006,0.48179853723404253
abhishek/autotrain-llama3-orpo-v2,0.38632162661737524,0.3126193369206735,0.04682779456193353,0.26677852348993286,0.3783068783068783,0.22182513297872342
abhishek/autotrain-vr4a1-e5mms,0.1478743068391867,0.4985245617080368,0.14123867069486404,0.3196308724832215,0.3888888888888889,0.36668882978723405
abideen/MedPhi-4-14B-v1,0.5767097966728281,0.6877278250303767,0.2930513595166163,0.34395973154362414,0.414021164021164,0.5338264627659575
adamo1139/Yi-34B-200K-AEZAKMI-v2,0.39186691312384475,0.536712376323555,0.05664652567975831,0.33221476510067116,0.38756613756613756,0.4512965425531915
adriszmar/QAIMath-Qwen2.5-7B-TIES,0.11645101663585952,0.30793265058149627,0.0015105740181268882,0.24916107382550334,0.3955026455026455,0.10663231382978723
aevalone/distill_qw_test,0.7024029574861368,0.5231730602325985,0.4780966767371601,0.30033557046979864,0.38492063492063494,0.4091589095744681
agentlans/Gemma2-9B-AdvancedFuse,0.1478743068391867,0.5858357923971532,0.10045317220543806,0.3347315436241611,0.421957671957672,0.4000166223404255
agentlans/Llama-3.2-1B-Instruct-CrashCourse12K,0.48428835489833644,0.35184863738934213,0.07099697885196375,0.2407718120805369,0.3201058201058201,0.1809341755319149
agentlans/Llama3.1-8B-drill,0.7245841035120147,0.5006075334143378,0.1714501510574018,0.2676174496644295,0.3664021164021164,0.37757646276595747
agentlans/Llama3.1-Daredevilish-Instruct,0.7578558225508318,0.5219579934039229,0.17220543806646527,0.3070469798657718,0.39021164021164023,0.3877160904255319
agentlans/Llama3.1-Daredevilish,0.5748613678373382,0.49904530463461205,0.12915407854984895,0.3011744966442953,0.4087301587301587,0.3696808510638298
agentlans/Llama3.1-LexiHermes-SuperStorm,0.7467652495378928,0.5257767748654747,0.16163141993957703,0.32298657718120805,0.3955026455026455,0.3843916223404255
agentlans/Llama3.1-SuperDeepFuse-CrashCourse12K,0.6820702402957486,0.5207429265752473,0.18051359516616314,0.31291946308724833,0.4021164021164021,0.3631150265957447
agentlans/Llama3.1-SuperDeepFuse,0.7393715341959335,0.5042527339003645,0.18277945619335348,0.27432885906040266,0.36904761904761907,0.3774933510638298
agentlans/Qwen2.5-0.5B-Instruct-CrashCourse-dropout,0.23844731977818853,0.3292831105710814,0.04229607250755287,0.2634228187919463,0.3333333333333333,0.16082114361702127
ahmeda335/13_outOf_32_pruned_layers_llama3.1-8b,0.11460258780036968,0.28449921888561014,0.0,0.25922818791946306,0.37962962962962965,0.11286569148936171
ai21labs/Jamba-v0.1,0.14972273567467653,0.35827113348377015,0.015861027190332326,0.2684563758389262,0.3584656084656085,0.24916888297872342
ai4bharat/Airavata,0.051756007393715345,0.360006943239021,0.01812688821752266,0.27432885906040266,0.37566137566137564,0.1634807180851064
aixonlab/Aether-12b,0.1756007393715342,0.515882659260545,0.10649546827794562,0.3162751677852349,0.38227513227513227,0.3410073138297872
aixonlab/Grey-12b,0.32717190388170053,0.56865127582017,0.09818731117824774,0.30033557046979864,0.45105820105820105,0.3779089095744681
aixonlab/Zara-14b-v1.2,0.5656192236598891,0.6380836660302031,0.35347432024169184,0.38171140939597314,0.4669312169312169,0.5263464095744681
akhadangi/Llama3.2.1B.0.01-First,0.053604436229205174,0.31609095643117513,0.01812688821752266,0.2483221476510067,0.3187830687830688,0.1196808510638298
akhadangi/Llama3.2.1B.0.01-Last,0.06099815157116451,0.31314007984724873,0.013595166163141994,0.24328859060402686,0.3201058201058201,0.12267287234042554
akhadangi/Llama3.2.1B.0.1-First,0.06469500924214418,0.309494879361222,0.021148036253776436,0.24496644295302014,0.32936507936507936,0.11693816489361702
akhadangi/Llama3.2.1B.0.1-Last,0.06284658040665435,0.3145287276514494,0.021148036253776436,0.23825503355704697,0.3333333333333333,0.11776928191489362
akhadangi/Llama3.2.1B.BaseFiT,0.05545286506469501,0.3155702135045999,0.02416918429003021,0.2533557046979866,0.32142857142857145,0.1171875
akjindal53244/Llama-3.1-8B-Instruct-FT_01,0.6987060998151571,0.49106057976045825,0.1540785498489426,0.2986577181208054,0.37037037037037035,0.3547207446808511
akjindal53244/Llama-3.1-Storm-8B,0.7707948243992606,0.517792049991321,0.17220543806646524,0.3263422818791946,0.4021164021164021,0.3803191489361702
alcholjung/llama3_medical_tuned,0.005545286506469501,0.4490539836833883,0.04682779456193353,0.2860738255033557,0.4656084656084656,0.29463098404255317
allenai/Llama-3.1-Tulu-3-70B-DPO,0.7966728280961183,0.6113521957993404,0.44939577039274925,0.37583892617449666,0.49074074074074076,0.4632646276595745
allenai/Llama-3.1-Tulu-3-70B-SFT,0.7707948243992606,0.5919111265405311,0.33157099697885195,0.3447986577181208,0.5013227513227513,0.46243351063829785
allenai/Llama-3.1-Tulu-3-70B,0.7985212569316081,0.6129144245790661,0.4501510574018127,0.3733221476510067,0.4933862433862434,0.46451130319148937
allenai/Llama-3.1-Tulu-3-8B-DPO,0.7689463955637708,0.40479083492449225,0.236404833836858,0.2936241610738255,0.41534391534391535,0.2898105053191489
allenai/Llama-3.1-Tulu-3-8B-RM,0.11460258780036968,0.292657524735289,0.0,0.25671140939597314,0.37566137566137564,0.10821143617021277
allenai/Llama-3.1-Tulu-3-8B-SFT,0.7060998151571165,0.3834403749349071,0.11782477341389729,0.27768456375838924,0.42592592592592593,0.28116688829787234
allenai/Llama-3.1-Tulu-3-8B,0.7948243992606284,0.4037493490713418,0.21148036253776434,0.29697986577181207,0.4166666666666667,0.2820811170212766
allenai/OLMo-1.7-7B-hf,0.09796672828096119,0.2987328588786669,0.0022658610271903325,0.2550335570469799,0.34656084656084657,0.11236702127659574
allenai/OLMo-1B-hf,0.1534195933456562,0.30185731643811836,0.017371601208459216,0.26174496644295303,0.4087301587301587,0.11735372340425532
allenai/OLMo-2-1124-7B-Instruct,0.6802218114602587,0.39802117687901406,0.1487915407854985,0.2785234899328859,0.3505291005291005,0.2672041223404255
allenai/OLMo-7B-Instruct-hf,0.27726432532347506,0.3659086964068738,0.013595166163141994,0.2709731543624161,0.37566137566137564,0.17852393617021275
allenai/OLMo-7B-hf,0.2033271719038817,0.3249435861829543,0.012084592145015106,0.2726510067114094,0.3478835978835979,0.11727061170212766
allenai/OLMoE-1B-7B-0125-Instruct,0.6284658040665434,0.38118382225308106,0.08987915407854985,0.2600671140939597,0.36243386243386244,0.19148936170212766
allenai/OLMoE-1B-7B-0924-Instruct,0.4011090573012939,0.38708557542093386,0.027945619335347432,0.2676174496644295,0.3835978835978836,0.18758311170212766
allenai/OLMoE-1B-7B-0924,0.15157116451016636,0.3383093212983857,0.01661631419939577,0.24748322147651006,0.3478835978835979,0.1739527925531915
allknowingroger/Chocolatine-24B,0.13863216266173753,0.616733206040618,0.0007552870090634441,0.32550335570469796,0.4312169312169312,0.4566156914893617
allknowingroger/Gemma2Slerp1-2.6B,0.4713493530499076,0.4322166290574553,0.10649546827794562,0.2835570469798658,0.455026455026455,0.26886635638297873
allknowingroger/Gemma2Slerp1-27B,0.6746765249537893,0.6370421801770526,0.2583081570996979,0.3640939597315436,0.47619047619047616,0.44564494680851063
allknowingroger/Gemma2Slerp2-2.6B,0.5175600739371534,0.42978649540010416,0.09063444108761329,0.3053691275167785,0.44576719576719576,0.26961436170212766
allknowingroger/Gemma2Slerp2-27B,0.7153419593345656,0.6528380489498351,0.27870090634441086,0.3699664429530201,0.46164021164021163,0.46226728723404253
allknowingroger/Gemma2Slerp3-27B,0.6987060998151571,0.6474570387085575,0.27416918429003023,0.3548657718120805,0.47354497354497355,0.4640957446808511
allknowingroger/Gemma2Slerp4-27B,0.7079482439926063,0.6500607533414338,0.2719033232628399,0.36661073825503354,0.4497354497354497,0.46492686170212766
allknowingroger/GemmaSlerp-9B,0.6580406654343808,0.5912168026384308,0.21601208459214502,0.34395973154362414,0.4669312169312169,0.41605718085106386
allknowingroger/GemmaSlerp2-9B,0.6876155268022182,0.5974657177573338,0.2107250755287009,0.3523489932885906,0.47619047619047616,0.42386968085106386
allknowingroger/GemmaSlerp4-10B,0.6894639556377079,0.6016316611699358,0.2243202416918429,0.35318791946308725,0.4537037037037037,0.4250332446808511
allknowingroger/GemmaSlerp5-10B,0.6913123844731978,0.6049296997049124,0.21827794561933533,0.3523489932885906,0.4603174603174603,0.4328457446808511
allknowingroger/GemmaStock1-27B,0.711645101663586,0.6537059538274606,0.263595166163142,0.3640939597315436,0.4523809523809524,0.47298869680851063
allknowingroger/HomerSlerp1-7B,0.39186691312384475,0.5492102065613609,0.2719033232628399,0.3179530201342282,0.4351851851851852,0.4503823138297872
allknowingroger/HomerSlerp2-7B,0.3733826247689464,0.5620551987502169,0.29682779456193353,0.3196308724832215,0.4351851851851852,0.45146276595744683
allknowingroger/HomerSlerp3-7B,0.36414048059149723,0.5566741885089395,0.3021148036253776,0.31711409395973156,0.44576719576719576,0.45345744680851063
allknowingroger/HomerSlerp4-7B,0.36044362292051757,0.5540704738760632,0.3270392749244713,0.3196308724832215,0.44047619047619047,0.44722406914893614
allknowingroger/LimyQstar-7B-slerp,0.2809611829944547,0.5007811143898628,0.06873111782477341,0.2986577181208054,0.414021164021164,0.3103390957446808
allknowingroger/Llama3.1-60B,0.11829944547134935,0.32112480472140253,0.0,0.29446308724832215,0.3584656084656085,0.3310339095744681
allknowingroger/Marco-01-slerp1-7B,0.39186691312384475,0.5521610831452872,0.3157099697885196,0.31711409395973156,0.4444444444444444,0.44830452127659576
allknowingroger/Meme-7B-slerp,0.4584103512014787,0.46432910952959555,0.04380664652567976,0.2860738255033557,0.421957671957672,0.281000664893617
