model,GSM8K,LegalBench,MATH,MMLU,Mean win rate,MedQA,NarrativeQA,NaturalQuestions (closed-book),NaturalQuestions (open-book),OpenbookQA,WMT 2014
GPT-4 Turbo (1106 preview),0.668,0.6259516326823287,0.856862689420829,0.6990877192982456,0.8344827586206897,0.8170974155069582,0.7270706981870464,0.43470596512187554,0.7629015365855754,0.95,0.20467244349620536
Jurassic-2 Grande (17B),0.159,0.46762841806735606,0.063558867353237,0.4709122807017544,0.2517241379310345,0.38966202783300197,0.7444818075617076,0.34996616858056556,0.6266441944273605,0.614,0.10181218471056237
Jurassic-2 Jumbo (178B),0.239,0.533179889193595,0.10289874457561117,0.48266666666666663,0.3310344827586207,0.43141153081510936,0.7282089633491154,0.38533436458666126,0.6501271721229362,0.688,0.11441985640983483
LLaMA (65B),0.489,0.4802675608835245,0.25736959672088194,0.5837192982456141,0.503448275862069,0.5069582504970179,0.7551554577325463,0.43256542520883445,0.6721751757066182,0.754,0.1890398965463828
Llama 2 (13B),0.266,0.5910030736631379,0.1021091538227401,0.5054035087719299,0.34827586206896555,0.39165009940357853,0.7407788701111923,0.3706060978348202,0.639984600932008,0.634,0.1672658654262144
Llama 2 (70B),0.567,0.6726994442119312,0.32279453852281265,0.5804561403508772,0.6586206896551724,0.6182902584493042,0.7631713198687995,0.4595602930170799,0.6739523507154374,0.838,0.19587598395260689
Llama 2 (7B),0.154,0.5015588886580016,0.09707261096489982,0.42491228070175435,0.21724137931034485,0.39165009940357853,0.685621004977857,0.33263163753268066,0.61174518010822,0.544,0.14394034057731314
Luminous Base (13B),0.028,0.33176688919652186,0.026258799453413896,0.2433684210526316,0.034482758620689655,0.26043737574552683,0.6333079653434086,0.1972226511424054,0.5769072833940746,0.286,0.06610696472033581
Luminous Extended (30B),0.075,0.42137461988954483,0.039711233958479975,0.24838596491228068,0.08620689655172414,0.27634194831013914,0.6839493639230109,0.2529234321406317,0.6108345391959515,0.272,0.08290194756313038
Luminous Supreme (70B),0.137,0.45204109729364284,0.0782924315360056,0.31642105263157894,0.20344827586206896,0.27634194831013914,0.7432289200129168,0.2992475548820738,0.6560865693464876,0.284,0.10240517647293663
Mistral v0.1 (7B),0.377,0.5802532274633645,0.2973668020179648,0.5835087719298246,0.4379310344827586,0.5248508946322068,0.7164233362865015,0.36699189732791715,0.6869664212545938,0.776,0.1604456237859723
Mixtral (8x7B 32K seqlen),0.622,0.630020881709919,0.49413645423437347,0.6490526315789473,0.7275862068965517,0.6520874751491054,0.7666040431581972,0.42725306310658473,0.6991936086134782,0.868,0.18982421560363932
PaLM-2 (Bison),0.61,0.6447033707273244,0.4209237315112468,0.6075087719298246,0.6862068965517241,0.5467196819085487,0.7180180202611235,0.38995180850624384,0.812636595594866,0.878,0.2408179397122467
PaLM-2 (Unicorn),0.831,0.6773014537121316,0.6736886940069314,0.7018245614035088,0.7758620689655172,0.68389662027833,0.5828773710219437,0.4348175818600496,0.6742427211512454,0.938,0.25952565257738897
Palmyra X V2 (33B),0.735,0.6442732446140653,0.5798099900915078,0.6212631578947369,0.7827586206896552,0.5984095427435387,0.7524621916104515,0.42810099574571514,0.7515145595314991,0.878,0.23881568531367575
Palmyra X V3 (72B),0.831,0.7087087740761012,0.72287040897812,0.7018245614035088,0.8206896551724138,0.68389662027833,0.7059408242658334,0.40719623137956623,0.6851822065584833,0.938,0.2618576157125692
Yi (34B),0.648,0.6178875317917214,0.37478395850488877,0.6495438596491228,0.7724137931034483,0.6560636182902585,0.7821540048974333,0.4434678831574275,0.7751231950468775,0.92,0.1715816474552153
Yi (6B),0.375,0.5188185110499097,0.12585197340399298,0.5301754385964912,0.3758620689655172,0.4970178926441352,0.7017925106130677,0.30995982967860286,0.74781385828905,0.8,0.1168525423688862
